MỘT SỐ NỘI DUNG VI PHẠM VÀ KHUNG XỬ LÝ KỶ LUẬT SINH VIÊN
TT Nội dung vi phạm, Số lần vi phạm và hình thức xử lý (Số lần tính trong cả khoá học)-Khiển trách-Cảnh cáo-Đình chỉ học tập có thời hạn-Buộc thôi học, Ghi chú
1. | Đến muộn giờ học, giờ thực tập; nghỉ học không phép hoặc quá phép | Lần 2 | Lần 3 |  |  | Sau khi cảnh cáo, SV tiếp tục vi phạm sẽ đình chỉ học tập 1 học kỳ
2. | Nghỉ học không có lý do trong 01 học kỳ |  | Lần 1 |  |  | 
3. | Người học có số lần cảnh báo học tập vượt quá 02 lần liên tiếp hoặc vượt quá 03 lần không liên tiếp |  |  |  | Lần 1 | Căn cứ Quyết định số 719/QĐ-ĐHQT về việc ban hành Quy chế Đào tạo trình độ Đại học theo hệ thống tín chỉ tại trường Đại học Quốc tế
4. | Người học có thời gian học tập vượt quá 02 lần thời gian theo chương trình đào tạo trình độ đại học của trường. |  |  |  | Lần 1 | Căn cứ Quyết định số 719/QĐ-ĐHQT về việc ban hành Quy chế Đào tạo trình độ Đại học theo hệ thống tín chỉ tại trường Đại học Quốc tế
5. | Mất trật tự, làm việc riêng trong giờ học, giờ thực tập và tự học | Lần 2 | Lần 3 |  |  | Sau khi cảnh cáo, SV tiếp tục vi phạm sẽ đình chỉ học tập 1 học kỳ
6. | Vô lễ, gây gổ, chống đối đe dọa, lăng mạ với giảng viên, viên chức, người lao động làm việc tại trường; xúc phạm danh dự, nhân phẩm người khác. |  |  |  |  | Tuỳ theo mức độ, xử lý từ khiển trách đến buộc thôi học
7. | Đi  học  thay  người	khác hoặc nhờ người khác đi học thay;	thi,	kiểm	tra	thay |  |  | Lần 1 | Lần 2 | Tuỳ theo mức độ, xử lý từ khiển trách đến buộc thôi học; Thời hạn đình chỉ học
 | người khác hoặc nhờ người khác thi, kiểm tra thay; làm thay người khác hoặc nhờ người khác làm thay đồ án, khóa luận, tiểu luận hoặc sao chép tiểu luận, đồ án, khóa luận của người khác. |  |  |  |  | tập đươc quy định tùy theo mức độ của hành vi vi phạm. Riêng đối với hành vi thi hộ, học hộ (thi thay, học thay) sinh viên bị kỷ luật ở mức đình chỉ học tập 01 năm đối với trường hợp vi phạm lần thứ nhất và buộc thôi học đối với trường hợp vi phạm lần thứ hai.
8. | Tổ chức học, thi, kiểm tra thay; tổ chức làm thay tiểu luận, đồ án, khóa luận tốt nghiệp. |  |  |  | Lần 1 | Tùy theo mức độ có thể giao cho cơ quan chức năng điều tra xử lý theo quy định của pháp luật.
9. | Mang tài liệu vào phòng thi, đưa đề thi ra ngoài nhờ làm hộ, ném tài liệu vào phòng thi, vẽ bậy vào bài thi; bỏ thi không có lý do chính đáng và các hình thức gian lận khác trong học tập, thi, kiểm tra. |  |  |  |  | Tùy theo tính chất, mức độ hành vi vi phạm sẽ bị xem xét xử lý theo quy định về xử lý thí sinh vi phạm tại Quy chế thi tốt nghiệp Trung học phổ thông hiện hành, riêng hình thức xử lý đình chỉ học tập và buộc thôi học không áp dụng trong trường hợp này và hành vi liên quan đến việc thi hộ, học hộ bị áp dụng xử lý theo quy định tại mục 7 và 8 của Phụ lục này.
10. | Có hành vi mua bán, gian lận trong đăng ký môn học. Cố tình đăng nhập tài khoản của người học khác mà không được sự đồng ý; Sử dụng tài khoản của nhà trường cho các mục đích vi phạm pháp luật. |  | Lần 1 | Lần 2 | Lần 3 | Tuỳ theo mức độ, xử lý từ cảnh cáo đến buộc thôi học.
